	C-m	C-n	IG-n	IG-m	IG-m 44
CPEB3_ribozyme	0	0	0	0	3
NHP2P1	2	3	2	1	1
MARCH5	564	1477	1069	587	432
RNY3P12	0	0	0	0	1
MARK2P9	2	3	3	0	3
IDE	1086	1661	1348	445	358
KIF11	47	2341	2512	44	58
RP11-366I13.3	0	1	0	0	0
RN7SL644P	0	0	0	0	0
EIF2S2P3	4	2	0	2	1
HHEX	38	131	44	98	39
EXOC6	493	451	239	331	268
RP11-477L16.2	0	0	0	0	0
RP11-348J12.2	11	0	0	1	3
CYP26C1	31	39	1	4	6
RP11-348J12.5	2	2	0	0	0
CYP26A1	14	3	4	5	6
NIP7P1	0	1	0	0	0
XRCC6P1	1	5	2	69	19
RP11-624L12.1	0	1	0	0	5
MYOF	7763	19521	20108	2589	6521
CEP55	88	2565	2739	38	64
RNA5SP323	0	10	0	0	0
FFAR4	0	0	0	0	0
RBP4	0	2	0	8	2
PDE6C	7	4	3	2	5
FRA10AC1	236	430	325	311	159
LGI1	1	3	0	8	4
RP11-437J2.3	0	0	0	0	2
RP11-437J2.4	0	0	0	0	0
RAB11AP1	0	0	0	0	0
SLC35G1	40	230	168	47	26
PIPSL	16	23	21	17	11
PLCE1	620	174	813	950	1148
PLCE1-AS2	0	0	0	6	16
RP11-162K11.4	0	0	0	0	0
HDAC1P1	0	0	1	0	13
RNU6-657P	0	0	0	0	0
RP11-391J2.3	0	0	0	5	2
PLCE1-AS1	2	0	24	15	18
RP11-76P2.4	2	4	1	10	4
NOC3L	605	993	764	256	294
TBC1D12	229	414	250	67	81
HELLS	43	756	588	35	61
RP11-119K6.6	2	25	22	0	3
CTBP2P2	0	0	0	0	2
CYP2C18	7	2	0	0	5
RP11-400G3.5	0	0	0	0	0
CYP2C19	0	0	0	0	0
MTND4P19	0	0	0	0	2
CYP2C58P	0	0	0	0	0
RP11-400G3.3	0	0	0	0	0
CYP2C9	74	3	0	0	7
MTND4P20	12	0	0	0	0
CYP2C59P	0	0	0	0	0
CYP2C60P	2	0	0	0	0
RP11-208C17.4	0	0	0	0	0
CYP2C8	4	2	0	1	3
RP11-310E22.5	7	0	0	0	30
RP11-310E22.6	0	1	0	0	0
PAWRP1	4	2	0	0	0
ACSM6	12	1	0	0	12
RP11-310E22.4	0	0	0	4	30
PDLIM1	384	3000	1581	284	225
SORBS1	902	845	74	357	684
RP11-7D5.2	1	1	0	1	1
ALDH18A1	576	3303	2240	287	223
TCTN3	595	1458	1590	493	357
ENTPD1	273	59	85	62	25
ENTPD1-AS1	60	148	155	16	42
RP11-429G19.3	28	67	64	17	8
AL365273.1	0	0	0	0	0
RP11-248J23.7	0	0	0	0	0
CC2D2B	9	7	7	2	3
RP11-248J23.5	0	0	0	0	0
CCNJ	420	470	290	170	209
MIR3157	0	0	0	0	0
RNU6-271P	0	0	0	0	0
ZNF518A	706	712	503	127	408
NPM1P25	70	0	1	0	0
BLNK	623	9	1	3	8
RP11-35J23.1	0	0	0	0	4
DNTT	11	3	0	0	1
OPALIN	1	0	0	0	4
TLL2	685	1002	150	252	186
TM9SF3	4849	7210	6243	2726	2843
NPM1P26	6	5	10	2	11
PIK3AP1	713	267	10	47	597
RNA5SP324	0	0	0	0	0
RP11-34E5.4	0	2	0	0	6
RNU6-1274P	0	0	0	0	0
RPL13AP5	85	344	229	191	13
MIR607	0	0	0	0	0
LCOR	1518	1082	572	433	951
HMGN2P35	0	0	0	0	0
SLIT1	5	9	0	0	8
SLIT1-AS1	0	0	0	0	0
ARHGAP19-SLIT1	0	0	0	0	0
ARHGAP19	49	371	602	92	100
RP11-375N9.2	0	0	0	1	1
RPL12P27	0	0	0	3	1
FRAT1	8	44	38	30	9
FRAT2	248	257	90	207	68
RP11-452K12.4	0	2	1	0	1
RRP12	1326	1965	939	1408	700
RP11-452K12.6	0	0	0	0	1
RP11-452K12.7	17	18	17	17	9
PGAM1	3735	6695	5175	2562	1816
EXOSC1	368	601	469	622	193
ZDHHC16	457	1614	1284	591	226
MMS19	1200	2670	2253	1448	723
UBTD1	430	1028	967	1134	245
ANKRD2	1000	107	13	1829	330
HOGA1	162	478	52	59	16
RP11-548K23.11	1	0	0	0	0
C10orf62	4	2	0	12	5
MORN4	239	171	197	156	60
PI4K2A	945	1100	905	583	333
AVPI1	56	441	206	269	90
MARVELD1	406	2569	2794	890	574
ZFYVE27	578	1056	618	770	381
SFRP5	173	6	0	498	226
LINC00866	1	0	0	0	0
GOLGA7B	51	41	1	108	59
CRTAC1	132	15	1	63	53
AL355301.1	0	0	0	0	0
R3HCC1L	280	421	333	193	173
LOXL4	494	601	570	861	679
RP11-34A14.3	1	6	6	7	9
PYROXD2	95	231	239	424	184
HPS1	1592	2216	1376	1570	765
MIR4685	1	9	1	0	1
HPSE2	0	0	0	0	9
MIR6507	0	0	0	0	0
ARL5AP2	0	0	0	0	0
RPL7P36	0	0	0	0	0
CNNM1	180	37	27	65	49
GOT1	1829	1816	1094	1124	368
RP11-441O15.3	89	7	21	119	125
LINC01475	0	0	0	0	3
RP11-129J12.1	0	0	0	0	1
NKX2-3	0	1	0	2	3
SLC25A28	240	455	308	468	761
RP11-85A1.3	5	1	5	14	68
RP11-483F11.7	0	4	7	3	2
ENTPD7	397	1663	596	61	227
EBAG9P1	0	1	1	0	3
CUTC	163	395	298	463	181
COX15	1039	1205	928	651	525
ABCC2	14	11	6	4	13
NANOGP6	0	0	0	0	1
DNMBP	994	1930	1744	170	171
DNMBP-AS1	2	8	0	0	0
CPN1	0	2	0	1	0
Cyp2c44	0	0	0	0	6
TPM4P1	1	0	0	0	0
RP11-316M21.9	0	0	0	0	2
ERLIN1	544	1784	2001	300	292
CHUK	596	987	881	269	317
RP11-316M21.7	9	14	14	7	13
RP11-316M21.6	8	1	2	5	3
CWF19L1	315	654	444	339	180
PHBP9	5	18	7	0	9
RNU6-422P	0	0	0	0	1
BLOC1S2	1286	1269	975	1425	608
PKD2L1	2	1	0	0	4
RP11-34D15.2	0	0	1	0	1
SCD	8370	9879	16996	917	959
OLMALINC	121	106	112	23	50
RP11-285F16.1	3	0	0	0	0
WNT8B	8	4	3	3	8
SEC31B	524	338	287	442	340
RP11-411B6.6	6	0	2	0	3
NDUFB8	141	207	205	567	90
HIF1AN	1553	1890	1740	1079	976
PAX2	962	2036	56	48	20
RP11-179B2.2	46	5	9	58	39
SLF2	1602	1448	1261	1067	936
RP11-108L7.14	3	3	0	0	3
MRPL43	752	1647	1139	1206	303
SEMA4G	211	212	123	49	65
MIR608	0	0	0	0	0
RP11-108L7.4	0	0	1	2	3
C10orf2	289	570	345	363	251
LZTS2	2932	3333	2342	4427	2064
PDZD7	179	92	100	759	334
SFXN3	1292	2137	2039	1103	743
RP11-108L7.15	10	9	18	13	5
KAZALD1	18	26	21	206	125
TLX1NB	0	0	0	0	0
TLX1	0	0	0	0	1
LINC01514	0	0	0	0	0
SMARCE1P7	0	0	0	0	0
LBX1	18	1	0	55	30
LBX1-AS1	28	0	0	66	15
RP11-107I14.4	0	0	0	0	2
RNU2-43P	0	0	0	0	0
RP11-107I14.2	0	0	1	0	0
RP11-107I14.5	0	0	0	0	0
BTRC	512	712	610	185	211
RNU2-59P	0	0	0	3	0
DPCD	155	261	205	460	63
POLL	309	746	504	581	243
hsa-mir-3158-1	0	0	0	0	0
MIR3158-1	0	0	0	0	0
FBXW4	713	882	531	1674	408
RNU6-1165P	0	0	0	0	0
RP11-190J1.3	0	0	0	0	1
FGF8	1	0	3	5	4
NPM3	84	942	456	279	57
MGEA5	1858	3429	1696	1261	1400
KCNIP2-AS1	2	3	1	0	6
KCNIP2	17	23	25	21	16
C10orf76	462	1090	683	262	227
HPS6	268	1213	752	481	118
RP11-302K17.3	1	0	0	0	1
RP11-302K17.4	0	0	0	0	5
LDB1	1788	2064	1204	450	536
PPRC1	844	2478	1581	623	556
NOLC1	3101	4765	2752	1681	1640
ELOVL3	6	14	1	16	20
PITX3	105	49	10	468	130
GBF1	2754	4824	4179	1747	1666
NFKB2	502	2422	536	1068	397
PSD	24	21	4	70	23
FBXL15	136	607	380	1047	110
CUEDC2	498	1347	972	1236	282
MIR146B	0	0	0	0	1
RPARP-AS1	105	70	67	217	55
C10orf95	11	3	4	2	3
MFSD13A	19	111	102	21	9
ACTR1A	2214	5214	4511	3535	1369
RP11-18I14.11	3	6	11	0	1
SUFU	170	862	606	129	127
RPL23AP58	0	0	0	0	0
RNU6-43P	0	0	0	0	0
RP11-47A8.5	194	536	332	249	150
TRIM8	1751	4154	3054	2194	1332
ARL3	390	874	784	1047	448
SFXN2	189	801	526	296	263
WBP1L	1207	1235	1520	785	484
RNU6-1231P	0	0	0	0	2
CYP17A1	3	0	0	0	12
CYP17A1-AS1	8	1	0	9	7
PFN1P11	2	0	1	7	3
PTGES3P4	5	0	4	0	1
RP11-753C18.12	3	1	0	0	0
BORCS7	456	292	322	744	254
BORCS7-ASMT	0	0	0	0	0
AS3MT	2	5	1	1	0
RP11-753C18.8	0	0	0	0	0
RP11-724N1.1	0	0	0	0	1
CNNM2	131	276	240	143	108
NT5C2	591	1440	949	58	410
RP11-332O19.2	0	0	0	0	3
MARCKSL1P1	0	3	0	1	1
ST13P13	2	1	0	5	62
RPEL1	0	3	1	0	8
INA	208	499	162	49	57
PCGF6	87	391	317	86	88
RNU11-3P	0	0	0	0	0
TAF5	67	214	184	37	31
USMG5	858	1353	939	2648	630
PDCD11	1193	2620	1534	1260	1078
CALHM2	43	146	310	108	51
RP11-225H22.7	2	10	40	12	7
RP11-225H22.4	1	0	2	8	6
CALHM1	17	3	1	6	7
CALHM3	3	0	0	2	4
NEURL1-AS1	0	0	0	0	8
NEURL1	31	10	27	437	195
RP11-416N2.3	0	0	0	0	4
SH3PXD2A	1168	1527	1920	965	1749
RP11-416N2.4	3	2	4	82	23
SH3PXD2A-AS1	1	6	4	3	6
RP11-541N10.3	62	36	57	49	23
OBFC1	477	457	693	708	209
SLK	2953	2381	2864	1276	1288
RN7SL524P	0	1	0	1	1
COL17A1	61	126	8	0	15
SFR1	95	223	172	49	30
CFAP43	62	22	5	11	14
MIR609	0	0	0	0	0
GSTO1	806	2790	1906	762	224
MIR4482	8	3	5	0	9
GSTO2	43	325	144	40	27
ITPRIP	697	1396	885	137	141
RP11-127L20.5	0	0	0	0	0
RP11-127L20.3	1	2	0	0	2
CFAP58-AS1	0	2	0	8	7
CFAP58	21	44	6	4	9
RP11-127O4.3	0	0	0	0	0
RP11-127O4.2	0	0	0	0	0
SORCS3	620	50	3	3	8
SORCS3-AS1	0	0	0	0	0
RNU6-463P	0	0	0	0	0
RP11-45P22.2	0	0	0	0	1
YWHAZP5	4	1	0	0	0
RP11-56I23.1	0	0	0	0	0
RP11-298H24.1	0	0	0	0	0
RPL23AP59	0	0	0	0	0
SORCS1	1	4	0	17	22
RNA5SP325	0	0	0	0	0
RNA5SP326	0	0	0	0	0
LINC01435	1	0	8	11	2
PTGES3P5	0	0	0	0	1
RP11-163F15.1	0	6	9	11	19
RP11-655H13.2	0	0	0	0	0
MAPKAPK5P1	0	0	0	0	0
RN7SKP278	0	0	0	0	0
RNU5B-6P	0	0	0	0	0
RNU6-839P	0	0	0	0	0
PHB2P1	0	0	0	0	0
BTF3P15	0	0	0	0	0
RP11-566F5.2	0	0	0	0	0
RP11-566F5.1	0	0	0	0	0
RP11-451M19.2	0	0	0	0	0
XPNPEP1	2239	1909	1734	2245	1218
RNU4-5P	1	0	0	0	0
ADD3-AS1	10	4	14	0	4
ADD3	1310	2503	2117	346	522
SNRPGP12	0	0	0	0	0
MXI1	450	480	179	221	192
RP11-549L6.3	2	0	0	1	1
RP11-549L6.2	0	0	0	0	0
SMNDC1	559	926	796	442	338
RP11-525A16.4	5	2	3	25	5
HMGB3P5	0	0	0	0	0
DUSP5	839	2486	772	897	631
RPL7P35	1	0	0	0	4
SMC3	614	2416	2110	426	492
RBM20	183	12	1	384	810
RN7SKP288	0	0	0	0	2
RNA5SP327	0	0	0	0	2
RP11-313D6.3	23	3	3	3	14
PDCD4-AS1	47	11	9	25	15
PDCD4	1235	990	612	534	333
BBIP1	237	246	237	347	240
RP11-348N5.9	6	2	4	0	5
RP11-348N5.7	12	9	9	2	33
SHOC2	1211	1106	1288	955	1109
RPL13AP6	0	2	1	0	1
MIR548E	0	2	0	0	1
ADRA2A	23	3	0	0	2
RP11-479A21.1	0	0	0	0	1
BTBD7P2	0	0	0	0	0
RP11-381K7.1	0	0	0	0	0
RP11-309P22.1	0	0	0	0	0
GPAM	394	407	438	129	127
TECTB	0	6	0	0	2
MIR6715B	0	0	0	0	0
MIR6715A	0	0	0	0	0
GUCY2GP	0	0	0	0	4
ACSL5	117	192	89	6	25
RP11-324O2.3	1	4	5	14	3
ZDHHC6	401	1073	1412	451	263
VTI1A	325	748	761	169	171
RP11-214N15.5	1	0	0	1	0
MIR4295	0	0	0	0	0
RP11-25C19.3	0	0	0	0	1
RP11-57H14.4	233	80	176	76	71
RP11-57H14.5	1	0	2	0	1
RP11-57H14.3	0	0	0	0	1
TCF7L2	316	834	428	175	113
RP11-57H14.2	7	3	4	24	20
RP11-139K1.2	1	0	1	0	0
RNU7-165P	2	0	0	0	0
RP11-481H12.1	0	0	0	3	0
HABP2	351	78	9	0	6
NRAP	10	33	0	60	35
CASP7	1797	850	711	408	541
RP11-211N11.5	0	3	1	0	3
PLEKHS1	17	7	3	1	2
MIR4483	0	0	0	0	0
DCLRE1A	144	527	383	115	183
NHLRC2	589	873	975	330	497
ADRB1	1	4	13	5	11
RNU6-709P	0	0	0	0	0
UBE2V1P5	1	0	0	0	0
CCDC186	643	820	755	98	321
Hammerhead_HH10	0	0	0	0	0
TDRD1	11	4	0	0	9
VWA2	19	23	0	3	11
CTB-1144G6.5	0	1	0	0	0
CTB-1144G6.6	1	0	0	0	0
AFAP1L2	409	1613	68	35	39
RN7SL384P	0	0	0	0	0
RP11-317F20.3	1	0	0	0	0
ABLIM1	2675	1746	271	563	941
RP11-317F20.2	0	0	0	0	2
PPIAP19	0	1	0	0	1
RP11-106M7.1	0	1	1	0	0
TAF9BP2	0	1	1	0	0
FAM160B1	567	977	1481	279	531
RP11-106M7.4	0	0	0	0	0
TRUB1	604	974	1448	398	589
RNU6-1121P	0	0	1	0	0
RP11-383C6.2	5	0	2	0	6
ATRNL1	77	173	1075	342	537
RP11-169K19.1	0	0	0	0	0
GFRA1	2246	4454	248	1116	1230
CCDC172	0	0	0	0	0
SNRPGP6	0	0	0	0	0
PNLIPRP3	4	4	0	0	3
HMGB3P8	0	0	0	0	0
RNU6-1090P	0	0	0	0	0
PNLIP	1	0	0	0	1
PNLIPP1	0	0	0	0	0
PNLIPRP1	0	3	0	0	3
PNLIPRP2	0	1	0	0	2
C10orf82	0	13	17	2	5
RP11-498B4.5	0	0	3	0	2
HSPA12A	967	2941	471	452	459
RPL5P27	0	0	0	0	0
RP11-539I5.1	50	214	63	5	2
ENO4	9	10	2	3	6
SHTN1	291	924	520	156	121
AC023283.1	0	0	0	0	0
RP11-5G18.2	0	1	0	0	0
VAX1	5	2	0	3	2
MIR3663HG	0	0	0	0	0
MIR3663	0	0	0	0	1
RPL12P26	0	0	0	0	0
KCNK18	1	1	0	0	0
RP11-501J20.5	0	1	0	0	0
SLC18A2	4	258	12	0	0
RP11-129M16.4	8	32	24	4	1
PDZD8	605	2181	1264	195	352
CTA-109P11.4	0	0	0	0	0
EMX2OS	987	663	34	13	21
EMX2	809	513	13	15	12
CTA-109P11.1	0	0	0	0	0
RP11-328K15.1	0	0	0	0	0
RP11-355F22.1	0	0	0	0	0
RAB11FIP2	647	770	497	138	178
RP11-354M20.3	2	2	2	0	2
CASC2	48	41	17	22	19
RP11-245J24.1	0	0	0	0	0
FAM204A	299	789	663	433	263
LINC00867	9	1	1	9	3
SLC25A18P1	0	0	0	0	0
PRLHR	1	0	0	0	1
TOMM22P5	0	0	0	0	2
CACUL1	2587	1621	1132	1419	1312
RP11-427L15.2	30	46	6	5	25
RP11-215A21.2	2	1	2	4	0
LDHAP5	0	0	3	0	0
RP11-498J9.2	2	0	0	0	1
NANOS1	292	85	18	193	72
EIF3A	4857	11337	7574	1883	2613
RP11-435O11.5	0	0	0	0	1
FAM45A	516	809	475	192	140
SFXN4	93	452	239	145	58
PRDX3	2488	6813	3769	1511	928
GRK5	155	163	739	405	239
GRK5-IT1	0	2	4	0	11
RN7SL749P	0	2	1	0	2
RP11-79M19.2	1	0	2	0	4
MIR4681	0	0	0	0	0
RGS10	21	704	407	27	7
RP11-179H18.8	0	0	0	0	0
TIAL1	1339	2146	1923	1296	699
RAD1P1	0	1	0	0	1
RP11-179H18.5	0	0	0	0	0
BAG3	794	2236	3484	585	367
TXNP1	0	0	0	0	1
INPP5F	361	787	1149	258	308
RN7SL846P	0	0	0	0	1
PHACTR2P1	0	2	2	0	6
RP11-359E7.3	0	0	0	0	0
MCMBP	367	2512	1935	345	280
SEC23IP	1253	2305	1843	481	585
MIR4682	1	0	1	6	0
NACAP2	0	0	0	1	0
RP11-781P14.3	0	0	0	0	0
RP11-572P18.1	6	17	9	13	3
RP11-572P18.2	0	0	0	0	2
PLPP4	116	473	719	80	22
LINC01561	5	18	18	0	0
WDR11-AS1	3	1	1	1	2
RP11-323P17.2	2	7	4	3	0
WDR11	1204	2308	1687	299	501
RP11-95I16.4	19	34	2	0	6
RP11-95I16.2	0	0	0	0	1
RP11-95I16.6	0	0	0	0	0
RP11-159H3.1	3	2	0	1	0
LINC01153	0	0	0	0	0
RN7SKP167	0	0	0	0	1
FGFR2	72	61	1	45	29
RP11-62L18.3	0	0	0	0	3
RPS15AP5	0	0	0	0	0
RP11-78A18.2	0	0	0	0	0
ATE1	671	1023	701	314	349
ATE1-AS1	18	9	2	6	6
RP11-500G22.4	6	0	0	4	1
NSMCE4A	100	725	581	269	102
RP11-500G22.5	13	38	19	3	8
TACC2	692	763	2222	882	674
BTBD16	24	9	8	17	54
RNU6-728P	0	0	0	0	0
PLEKHA1	2662	2583	906	286	447
MIR3941	0	0	0	0	0
ARMS2	1	1	1	15	4
HTRA1	1324	718	12875	11137	4957
DMBT1	3	6	6	0	16
RP11-481L19.3	0	0	0	0	0
RP11-481L19.2	0	0	0	0	1
C10orf120	0	2	0	0	2
DMBT1P1	0	0	0	0	1
RP11-107C16.2	0	0	0	0	0
CUZD1	61	51	31	20	16
FAM24B	13	56	15	0	4
RP11-564D11.3	51	45	25	10	10
FAM24A	0	0	0	0	1
C10orf88	241	234	328	156	116
PSTK	74	106	63	60	24
IKZF5	285	405	376	214	267
ACADSB	711	592	450	227	310
HMX3	1	1	0	0	3
HMX2	2	5	0	0	0
BUB3	928	3518	3286	823	583
RP11-162A23.5	1	0	0	0	0
RP11-338O1.3	0	0	0	0	0
RP11-282I1.1	0	0	0	0	0
RP11-338O1.2	0	0	0	0	0
RP11-282I1.2	0	0	0	0	0
GPR26	20	1	0	0	1
CPXM2	2865	155	2	23	12
RP11-391M7.3	0	0	0	0	0
RP11-285A18.2	0	0	0	0	0
YBX2P1	0	0	0	2	3
RP11-47G11.2	0	0	0	0	0
CHST15	834	957	346	306	411
OAT	710	2741	2520	548	443
NKX1-2	0	1	0	0	1
RP13-238F13.3	0	0	0	0	0
LHPP	115	138	193	283	68
RPS10P18	0	1	0	0	0
RP11-12J10.3	2	1	4	7	4
FAM53B	139	603	335	161	104
RP11-12J10.4	0	0	1	2	1
FAM53B-AS1	0	0	1	0	0
METTL10	23	145	102	63	12
FAM175B	488	621	577	209	205
NPM1P31	0	0	0	0	0
RP11-298J20.4	13	45	18	20	5
ZRANB1	352	498	306	230	333
RP11-298J20.3	0	0	0	0	3
CTBP2	1480	2603	1880	585	481
RP11-59C5.3	36	147	78	42	73
MIR4296	0	0	0	0	3
RP11-151A10.3	5	6	3	10	9
MRPS21P6	0	0	0	0	0
RPS27P18	0	0	0	0	0
TEX36-AS1	0	0	0	0	0
TEX36	0	1	0	0	0
ALDOAP2	0	3	1	1	0
RP11-383C5.3	2	2	1	1	0
FLJ37035	0	2	3	5	0
RP11-383C5.8	0	0	0	0	0
RP11-383C5.5	9	4	3	14	9
EDRF1	310	517	524	215	256
EDRF1-AS1	26	33	16	10	10
MMP21	0	0	0	13	11
UROS	722	1338	972	1430	333
MIR4484	0	0	0	0	1
BCCIP	912	1595	1329	1474	585
DHX32	770	1571	657	504	243
RNU2-42P	0	0	0	0	0
FANK1	93	205	23	55	18
GNG10P1	0	0	0	0	0
FANK1-AS1	0	0	0	0	0
ADAM12	4908	1822	1229	1864	4210
RNA5SP328	0	0	0	0	0
RP11-81B10.2	1	0	1	0	0
LINC00601	3	5	0	3	5
C10orf90	6	10	6	1	4
DOCK1	842	2586	1827	321	489
RP11-223P11.3	0	4	0	0	1
RP11-223P11.2	0	0	0	0	10
FAM196A	110	65	7	22	37
NPS	0	1	0	0	0
RP11-288A5.2	0	0	0	0	0
FOXI2	0	0	0	0	1
BUB1P1	0	0	0	0	1
CLRN3	0	2	0	0	0
PTPRE	149	417	155	39	28
RP11-4C20.3	0	10	0	0	0
RP11-4C20.4	1	9	0	0	2
MKI67	2	7532	7613	32	86
LINC01163	0	0	0	0	0
RP11-264E18.1	0	0	0	0	0
RP11-442O18.2	0	0	0	0	0
RP11-442O18.1	0	0	0	0	0
RP11-168C9.1	0	0	0	0	0
MGMT	100	630	297	255	43
RP11-109A6.2	0	0	0	0	0
RP11-109A6.3	0	4	0	0	0
RP11-109A6.5	3	2	0	0	2
EBF3	158	5	0	4	10
RP11-234G16.4	0	0	0	0	0
MIR4297	0	0	0	0	0
RP11-234G16.5	4	0	0	0	0
LINC00959	20	27	33	32	11
RP11-500G10.5	6	0	2	10	5
CTAGE7P	42	7	13	20	51
PPIAP32	0	1	0	0	3
GLRX3	1298	2818	1833	1120	453
RP11-339B9.1	2	0	0	0	1
RP11-540N6.1	0	1	0	0	0
MIR378C	0	0	0	0	0
TCERG1L	27	12	0	0	3
TCERG1L-AS1	6	0	0	1	0
LINC01164	1	0	0	0	4
XX-FYM637E10_5.1	0	0	0	0	0
ABC11-4932300O16.1	0	0	0	0	3
PPP2R2D	720	1097	726	487	280
BNIP3	1204	1798	2077	2111	1220
RP11-45A17.2	4	4	1	3	10
RP11-45A17.4	4	10	6	1	43
RP11-45A17.3	4	1	8	0	1
JAKMIP3	21	8	11	3	33
RP11-140A10.3	0	0	0	4	3
DPYSL4	139	655	121	474	149
STK32C	194	346	233	366	115
LRRC27	89	136	102	95	40
PWWP2B	87	337	203	397	82
RP11-432J24.2	0	1	0	17	16
RP11-432J24.3	2	0	0	5	4
C10orf91	11	2	1	6	7
RP11-432J24.5	2	0	0	5	1
LINC01165	2	1	1	0	1
INPP5A	205	822	665	119	111
NKX6-2	1	34	2	38	9
CFAP46	18	80	26	5	23
LINC01166	2	0	0	4	6
LINC01167	0	0	1	20	6
LINC01168	0	0	0	0	8
ADGRA1	206	3	0	232	184
ADGRA1-AS1	45	0	0	94	70
RPL5P28	1	0	0	0	0
KNDC1	29	21	9	51	31
UTF1	0	0	0	0	2
VENTX	1	0	0	2	10
MIR202HG	2	0	0	0	2
RP13-49I15.6	2	3	0	3	4
ADAM8	66	534	38	51	32
TUBGCP2	1900	3645	2298	2907	856
RP11-122K13.12	18	44	22	6	6
ZNF511	67	274	142	130	43
ZNF511-PRAP1	0	0	0	0	0
CALY	8	3	4	185	25
BANF1P2	8	0	2	13	16
RP11-122K13.7	5	0	0	12	22
PRAP1	5	1	1	33	12
FUOM	131	470	316	1078	194
ECHS1	3889	4163	2328	10937	1992
MIR3944	1	1	0	3	2
RP11-122K13.15	1	0	0	26	25
PAOX	71	171	95	220	116
RP11-108K14.8	1	1	0	6	2
MTG1	57	172	65	50	27
SPRN	119	175	130	416	100
OR6L2P	4	0	1	0	2
SCART1	12	47	41	17	59
OR7M1P	4	0	0	0	2
CYP2E1	27	40	11	66	22
RP11-108K14.12	3	1	0	0	1
SYCE1	4	1	1	13	6
OR6L1P	0	0	0	0	0
FRG2B	0	0	0	12	45
RARRES2P2	0	1	0	1	1
AGGF1P2	12	0	0	3	4
CLUHP5	0	0	0	0	2
DUX4L28	0	0	0	0	0
DUX4L25	0	0	0	0	0
DUX4L24	0	0	0	0	0
DUX4L23	0	0	0	0	0
DUX4L22	0	0	0	0	0
DUX4L21	0	0	0	0	0
DUX4L20	0	0	0	0	0
DUX4L29	0	0	0	0	0
DUX4L10	0	0	0	0	0
DUX4L11	0	0	0	0	0
DUX4L12	0	0	0	0	0
DUX4L13	0	0	0	0	0
DUX4L14	0	0	0	0	0
DUX4L15	0	0	0	0	0
RPL23AP60	0	0	0	0	0
XXyac-YRM2136_A.2	0	0	0	0	0
WBP1LP10	0	0	0	0	0
OR4F2P	0	1	0	0	0
RP11-304M2.6	0	0	0	0	0
CICP23	0	0	0	0	0
LINC01001	24	69	11	0	7
RP11-304M2.3	0	0	0	0	0
RNU6-447P	0	0	0	0	0
BET1L	806	1403	1269	789	540
SCGB1C1	1	1	0	12	3
ODF3	0	0	0	4	2
RP11-304M2.5	0	0	0	0	0
RIC8A	2073	5090	3648	2122	1298
SIRT3	155	436	282	220	92
PSMD13	1768	4429	3074	3650	922
RP11-326C3.16	23	12	7	0	6
NLRP6	0	3	0	6	11
RP11-326C3.2	2	32	1	13	7
ATHL1	44	886	523	387	151
IFITM5	0	0	0	0	2
RP11-326C3.4	0	0	0	0	5
IFITM2	294	1805	2645	357	459
RP11-326C3.7	4	20	32	19	77
IFITM1	23	84	376	298	2534
RP11-326C3.11	6	4	11	40	129
IFITM3	1088	4489	7262	2706	2587
RP11-326C3.10	0	0	0	0	3
RP11-326C3.14	1	2	0	0	15
RP11-326C3.13	0	4	1	0	3
RP11-326C3.12	1	1	0	0	4
RP11-326C3.15	0	1	0	1	3
B4GALNT4	2	150	221	100	47
PKP3	25	266	77	25	18
SIGIRR	23	465	200	139	14
ANO9	341	542	13	401	109
RN7SL838P	1	0	0	0	5
PTDSS2	1559	1285	1043	3489	793
RP13-317D12.3	23	2	6	167	31
RNH1	2100	7055	4533	6908	1925
RP13-46H24.1	3	4	2	2	7
HRAS	358	1274	958	3117	321
LRRC56	39	125	49	274	120
LMNTD2	22	189	83	92	33
RP11-496I9.1	8	82	69	39	32
RASSF7	145	2176	824	708	146
MIR210HG	48	110	180	451	142
MIR210	0	5	6	1	2
PHRF1	915	3115	1868	974	592
IRF7	119	647	343	497	641
CDHR5	2	2	0	13	46
SCT	0	0	0	359	27
DRD4	4	6	1	116	20
DEAF1	295	1315	810	605	150
RP11-754B17.1	0	0	0	0	7
EPS8L2	1690	11668	3726	1443	869
TMEM80	329	356	318	421	329
AP006621.9	8	52	8	0	17
TALDO1	2131	7327	4159	3101	753
PDDC1	864	2770	1746	1321	484
AP006621.5	87	64	66	225	53
CMB9-55F22.1	59	52	51	49	61
AP006621.6	18	8	16	0	11
CEND1	150	15	86	254	54
SLC25A22	532	1672	1303	941	305
PANO1	28	12	18	59	31
PIDD1	456	1243	656	1578	385
RPLP2	4793	14864	7265	15927	2132
SNORA52	4	33	20	44	13
PNPLA2	1593	3319	1712	2798	616
AP006621.8	34	36	27	67	19
CRACR2B	449	293	191	989	245
CD151	4226	16832	15930	13230	3685
POLR2L	2073	3445	3962	7656	958
TSPAN4	488	3305	3540	1659	481
RP11-1391J7.1	10	26	76	29	18
CHID1	608	2101	1555	2102	556
AP2A2	1187	3646	2140	1103	384
RNU6-1025P	0	0	0	0	2
MUC6	12	17	0	4	20
RP13-870H17.3	1	0	0	8	12
MUC2	0	1	0	0	4
MUC5AC	0	11	0	0	16
MUC5B	2	9	0	10	38
RP11-532E4.2	0	0	0	0	0
MIR6744	0	0	0	0	0
TOLLIP	1008	1734	1233	961	261
